UF;Município;Região Turística;Domésticos;Internacionais;Estabelecimentos;Empregos;Arrecadação de Impostos;Categoria
MA;Rosário;Polo Munim;33.998;0;2;4;0.0;D
MA;Santa Helena;Polo Lagos e Campos Floridos;32.973;64;0;0;0.0;D
MA;Santo Amaro do Maranhão;Polo Lençóis & Delta;0;199;3;16;0.0;D
MA;São João do Soter;Polo Cocais;10.601;0;0;0;0.0;D
MA;São José de Ribamar;Polo  São Luís;3.320;129;6;105;568524.0;C
MA;São Luís;Polo  São Luís;1.455.665;35.971;95;1.322;127000000000000,00;A
MA;Serrano do Maranhão;Polo Floresta dos Guarás;0;0;0;0;0.0;E
MA;Tasso Fragoso;Polo Chapada das Mesas;0;0;0;0;0.0;D
MA;Timon;Polo Cocais;38.907;0;6;69;0.0;C
MA;Tutóia;Polo Lençóis & Delta;31.284;1.016;2;8;0.0;D
MA;Vargem Grande;Polo Munim;8.105;0;1;1;0.0;D
MT;Acorizal;Região Turística Circuito das Águas;5.928;0;0;0;0.0;D
MT;Água Boa;Região Turística Roncador Xingu;0;263;8;48;0.0;C
MT;Alta Floresta;Região Turística da Amazônia Mato-grossense;37.445;1.034;18;130;844186.0;C
MT;Alto Garças;Região Turística Domo de Araguainha;1.895;0;4;26;0.0;D
MT;Araguaiana;Região Turística Roncador Xingu;0;0;0;0;0.0;E
MT;Araguainha;Região Turística Domo de Araguainha;0;149;0;0;0.0;D
MT;Aripuanã;Região Turística Vale do Juruena;24.248;318;5;14;0.0;D
MT;Barra do Garças;Região Turística Roncador Xingu;186.456;1.080;22;165;923591.0;B
MT;Brasnorte;Região Turística Vale do Juruena;0;0;3;11;0.0;D
MT;Campinápolis;Região Turística Roncador Xingu;0;116;0;0;0.0;D
MT;Campos de Júlio;Região Turística das Nascentes;48.165;0;4;16;0.0;C
MT;Canarana;Região Turística Roncador Xingu;2.336;206;10;38;286399.0;C
MT;Chapada dos Guimarães;Região Turística Circuito das Águas;31.657;665;20;387;5118818.0;B
MT;Cocalinho;Região Turística Roncador Xingu;11.772;0;2;3;0.0;D
MT;Comodoro;Região Turística Vale do Guaporé;3.711;0;6;30;162604.0;D
MT;Cuiabá;Região Turística Metropolitana;1.099.626;22.923;77;1.257;109000000000000,00;A
MT;Curvelândia;Região Turística Vale do Cabaçal;0;315;0;0;0.0;D
MT;Itaúba;Região Turística Portal da Amazônia;1.745;0;2;11;0.0;D
MT;Itiquira;Região Turística  Pantanal Mato-Grossense;2.028;0;4;9;0.0;D
MT;Jaciara;Região Turística Vale do São Lourenço;41.298;0;12;66;569343.0;C
MT;Juína;Região Turística Vale do Juruena;13.722;102;13;48;283290.0;C
MT;Juruena;Região Turística Vale do Juruena;0;0;2;9;0.0;D
MT;Lucas do Rio Verde;Região Turística Portal do Agronegócio;3.810;1.903;18;115;1211941.0;C
MT;Luciara;Região Turística Norte Araguaia;0;0;0;0;0.0;E
MT;Marcelândia;Região Turística Portal da Amazônia;3.811;0;3;16;0.0;D
MT;Mirassol d'Oeste;Região Turística Vale do Cabaçal;8.406;354;5;32;0.0;D
MT;Nobres;Região Turística Circuito das Águas;11.606;82;15;27;74280.0;C
MT;Nortelândia;Região Turística Circuito das Águas;9.385;0;1;4;0.0;D
MT;Nossa Senhora do Livramento;Região Turística  Pantanal Mato-Grossense;0;0;0;0;0.0;E
MT;Nova Brasilândia;Região Turística Circuito das Águas;0;0;1;1;0.0;D
MT;Nova Mutum;Região Turística Portal do Agronegócio;15.309;0;14;89;708887.0;C
MT;Nova Santa Helena;Região Turística Portal da Amazônia;0;0;1;4;0.0;D
MT;Nova Xavantina;Região Turística Roncador Xingu;15.975;196;5;22;191558.0;D
MT;Novo Santo Antônio;Região Turística Norte Araguaia;0;0;0;0;0.0;D
MT;Paranaíta;Região Turística da Amazônia Mato-grossense;3.811;155;8;20;733538.0;C
MT;Poconé;Região Turística  Pantanal Mato-Grossense;14.093;797;20;299;4834919.0;B
MT;Pontal do Araguaia;Região Turística Roncador Xingu;0;0;0;0;0.0;E
MT;Ponte Branca;Região Turística Domo de Araguainha;5.764;0;0;0;0.0;D
MT;Porto dos Gaúchos;Região Turística Portal do Agronegócio;0;0;1;2;0.0;D
MT;Poxoréu;Região Turística Rota dos Ipês e das Águas;15.766;186;0;0;0.0;D
MT;Querência;Região Turística Roncador Xingu;305;258;8;33;399347.0;C
MT;Ribeirão Cascalheira;Região Turística Roncador Xingu;2.591;116;4;8;0.0;D
MT;Rio Branco;Região Turística Vale do Cabaçal;0;64;0;0;0.0;D
MT;Rosário Oeste;Região Turística Circuito das Águas;8.879;207;2;8;0.0;D
MT;Salto do Céu;Região Turística Vale do Cabaçal;3.324;182;0;0;0.0;D
MT;Santa Carmem;Região Turística Portal do Agronegócio;0;0;0;0;0.0;D
MT;Santa Terezinha;Região Turística Norte Araguaia;1.494;0;0;0;0.0;D
MT;Santo Antônio do Leverger;Região Turística  Pantanal Mato-Grossense;10.638;0;4;81;0.0;D
MT;São Félix do Araguaia;Região Turística Norte Araguaia;1.503;0;5;12;0.0;D
MT;São José do Rio Claro;Região Turística Circuito das Águas;11.603;182;4;17;0.0;D
MT;Sapezal;Região Turística das Nascentes;123.803;389;10;63;499126.0;C
MT;Sinop;Região Turística Portal do Agronegócio;264.856;706;31;263;2496870.0;B
MT;Sorriso;Região Turística Portal do Agronegócio;79.398;1.131;19;194;1563181.0;B
MT;Tangará da Serra;Região Turística das Nascentes;36.217;651;21;156;734049.0;B
MT;Tapurah;Região Turística Portal do Agronegócio;0;0;3;9;0.0;D
MT;Tesouro;Região Turística Roncador Xingu;0;0;1;1;0.0;D
MT;Várzea Grande;Região Turística Metropolitana;46.651;111;35;295;3225717.0;B
MT;Vila Bela da Santíssima Trindade;Região Turística Vale do Guaporé;1.548;111;0;0;0.0;D
MS;Alcinópolis;Rota Cerrado Pantanal;0;0;2;2;0.0;D
MS;Amambai;Caminhos da Natureza / Cone Sul;9.861;370;7;37;222913.0;C
MS;Aparecida do Taboado;Costa Leste;11.328;75;7;29;0.0;C
MS;Aquidauana;Pantanal;72.914;1.021;14;34;223852.0;C
MS;Bataguassu;Costa Leste;40.706;0;6;34;0.0;C
MS;Bela Vista;Bonito / Serra da Bodoquena;1.399;239;2;11;0.0;D
MS;Bodoquena;Bonito / Serra da Bodoquena;0;119;1;4;0.0;D
MS;Bonito;Bonito / Serra da Bodoquena;256.901;16.968;54;666;5891010.0;B
MS;Caarapó;Grande Dourados;9.928;0;4;25;0.0;D
MS;Campo Grande;Caminho dos Ipês;860.874;35.350;77;1.050;9635777.0;A
MS;Cassilândia;Costa Leste;16.746;215;4;33;0.0;D
MS;Corguinho;Caminho dos Ipês;1.399;0;2;14;0.0;D
MS;Corumbá;Pantanal;78.771;11.596;34;225;1571940.0;B
MS;Costa Rica;Rota Cerrado Pantanal;75.181;0;9;40;230891.0;C
MS;Coxim;Rota Cerrado Pantanal;91.094;299;17;77;299532.0;B
MS;Dourados;Grande Dourados;257.623;2.719;33;313;3606903.0;B
MS;Eldorado;Caminhos da Natureza / Cone Sul;7.546;0;5;10;0.0;D
MS;Fátima do Sul;Grande Dourados;12.565;120;3;11;0.0;D
MS;Itaquiraí;Caminhos da Natureza / Cone Sul;0;108;3;24;0.0;D
MS;Ivinhema;Vale das Águas;41.295;0;12;41;168884.0;C
MS;Japorã;Caminhos da Natureza / Cone Sul;8.061;0;0;0;0.0;D
MS;Jaraguari;Caminho dos Ipês;4.709;0;1;1;0.0;D
MS;Jardim;Bonito / Serra da Bodoquena;57.325;231;8;32;0.0;C
MS;Ladário;Pantanal;5.215;0;3;17;0.0;D
MS;Maracaju;Grande Dourados;19.606;570;10;67;510491.0;C
MS;Miranda;Pantanal;48.246;1.296;18;97;208171.0;C
MS;Naviraí;Caminhos da Natureza / Cone Sul;6.612;112;12;62;312759.0;C
MS;Nova Alvorada do Sul;Caminho dos Ipês;4.241;0;8;49;0.0;C
MS;Nova Andradina;Vale das Águas;25.518;111;14;50;433087.0;C
MS;Paranaíba;Costa Leste;30.097;415;10;72;219463.0;C
MS;Pedro Gomes;Rota Cerrado Pantanal;0;0;2;2;0.0;D
MS;Ponta Porã;Grande Dourados;216.544;1.819;14;173;1724616.0;B
MS;Porto Murtinho;Bonito / Serra da Bodoquena;6.108;0;5;10;112206.0;D
MS;Rio Negro;Caminho dos Ipês;2.096;224;1;4;0.0;D
MS;Rio Verde de Mato Grosso;Rota Cerrado Pantanal;2.317;121;9;29;0.0;C
MS;Rochedo;Caminho dos Ipês;9.418;0;1;1;0.0;D
MS;Sidrolândia;Caminho dos Ipês;27.446;0;3;16;0.0;D
MS;Taquarussu;Vale das Águas;0;0;0;0;0.0;E
MS;Terenos;Caminho dos Ipês;9.418;121;1;1;0.0;D
MS;Três Lagoas;Costa Leste;204.801;2.087;40;333;4959982.0;B
MG;Abaeté;Lago de Três Marias;8.415;245;3;16;0.0;D
MG;Abre Campo;Montanhas e Fé;14.987;0;3;16;0.0;D
MG;Acaiaca;Serras de Minas;0;0;0;0;0.0;E
MG;Açucena;Mata Atlântica de Minas;31.978;0;1;6;0.0;D
MG;Água Boa;Pedras Preciosas;2.624;0;1;2;0.0;D
MG;Águas Formosas;Vale do Jequitinhonha;2.624;91;2;7;0.0;D
MG;Águas Vermelhas;Vale do Jequitinhonha;0;0;1;0;0.0;D
MG;Aimorés;Trilhas do Rio Doce;28.296;461;6;32;0.0;C
MG;Albertina;Malhas do Sul de Minas;0;0;0;0;0.0;E
MG;Além Paraíba;Serras e Cachoeiras;17.687;319;4;17;0.0;D
MG;Alfenas;Lago de Furnas;42.550;943;15;137;681136.0;C
MG;Alfredo Vasconcelos;Trilha dos Inconfidentes;0;0;0;0;0.0;E
MG;Almenara;Vale do Jequitinhonha;23.703;66;4;4;0.0;D
MG;Alpinópolis;Nascentes das Gerais e Canastra;0;182;2;10;0.0;D
MG;Alterosa;Lago de Furnas;27.275;116;1;1;0.0;D
MG;Alto Caparaó;Pico da Bandeira;0;388;4;11;0.0;D
MG;Alto Jequitibá;Pico da Bandeira;2.383;0;1;6;0.0;D
MG;Alto Rio Doce;Nascente do Rio Doce;7.914;0;1;3;0.0;D
MG;Alvarenga;Trilhas do Rio Doce;0;130;0;0;0.0;D
MG;Alvorada de Minas;Diamantes;0;0;0;0;0.0;D
MG;Andradas;Caminhos Gerais;50.113;555;4;21;0.0;C
MG;Angelândia;Pedras Preciosas;0;0;0;0;0.0;E
MG;Antônio Carlos;Trilha dos Inconfidentes;0;0;0;0;0.0;E
MG;Antônio Dias;Mata Atlântica de Minas;0;0;2;25;0.0;D
MG;Araçaí;Guimarães Rosa;0;0;0;0;0.0;E
MG;Araçuaí;Vale do Jequitinhonha;21.483;0;5;28;0.0;D
MG;Araguari;Rota do Triângulo;55.726;601;13;91;546470.0;C
MG;Arantina;Serras de Ibitipoca;0;0;1;4;0.0;D
MG;Araponga;Serra do Brigadeiro;0;0;0;0;0.0;D
MG;Araporã;Rota do Triângulo;0;0;0;0;0.0;D
MG;Arapuá;Lago de Três Marias;0;0;0;0;0.0;E
MG;Araxá;Nascentes das Gerais e Canastra;44.499;1.606;20;489;5861173.0;B
MG;Arceburgo;Montanhas Cafeeiras de Minas;13.569;0;1;3;0.0;D
MG;Arcos;Grutas e Mar de Minas;7.494;130;7;64;441259.0;C
MG;Areado;Montanhas Cafeeiras de Minas;0;0;2;4;0.0;D
MG;Argirita;Serras e Cachoeiras;0;0;0;0;0.0;E
MG;Arinos;Urucuia Grande Sertão;47.140;102;2;7;0.0;C
MG;Astolfo Dutra;Serras e Cachoeiras;0;0;0;0;0.0;E
MG;Ataléia;Pedras Preciosas;22.372;0;0;0;0.0;D
MG;Augusto de Lima;Serra do Cabral;0;0;2;49;0.0;D
MG;Baependi;Águas;10.747;140;7;28;0.0;C
MG;Baldim;Serra do Cipó;2.624;0;0;0;0.0;D
MG;Barão de Cocais;Ouro;18.933;0;11;40;276457.0;C
MG;Barbacena;Trilha dos Inconfidentes;59.071;879;20;168;1076344.0;B
MG;Barra Longa;Montanhas e Fé;0;0;0;0;0.0;D
MG;Barroso;Trilha dos Inconfidentes;0;0;2;12;0.0;D
MG;Belo Horizonte;Capital Belo Horizonte;3.327.794;136.312;159;2.323;370000000000000,00;A
MG;Belo Oriente;Mata Atlântica de Minas;0;140;1;2;0.0;D
MG;Belo Vale;Veredas do Paraopeba;0;0;2;9;0.0;D
MG;Berilo;Lago de Irapé;0;0;0;0;0.0;D
MG;Berizal;Cachaça;0;140;0;0;0.0;D
MG;Bertópolis;Vale do Jequitinhonha;0;60;0;0;0.0;D
MG;Bias Fortes;Serras de Ibitipoca;0;0;0;0;0.0;E
MG;Bicas;Caminhos Verdes de Minas;2.681;0;3;9;0.0;D
MG;Boa Esperança;Lago de Furnas;31.757;171;8;39;233476.0;C
MG;Bom Despacho;Verde - Trilha dos Bandeirantes;0;308;6;25;0.0;D
MG;Bom Jesus da Penha;Montanhas Cafeeiras de Minas;0;0;2;1;0.0;D
MG;Bom Jesus do Galho;Mata Atlântica de Minas;0;130;1;1;0.0;D
MG;Bom Repouso;Serras Verdes do Sul de Minas;0;0;0;0;0.0;E
MG;Bom Sucesso;Região Encantos de Minas;0;0;2;7;0.0;D
MG;Bonfim;Veredas do Paraopeba;0;0;0;0;0.0;E
MG;Bonfinópolis de Minas;Urucuia Grande Sertão;55.778;0;1;2;0.0;C
MG;Bonito de Minas;Velho Chico;4.671;0;0;0;0.0;D
MG;Borda da Mata;Malhas do Sul de Minas;2.681;0;2;8;0.0;D
MG;Botumirim;Lago de Irapé;7.914;0;0;0;0.0;D
MG;Brasília de Minas;Sertão Gerais;0;735;4;5;0.0;D
MG;Brás Pires;Nascente do Rio Doce;0;0;0;0;0.0;D
MG;Braúnas;Trilhas do Rio Doce;0;75;0;0;0.0;D
MG;Brazópolis;Caminhos da Mantiqueira;25.587;0;3;6;0.0;D
MG;Brumadinho;Veredas do Paraopeba;13.569;777;14;127;1254518.0;C
MG;Bueno Brandão;Serras Verdes do Sul de Minas;0;120;6;84;0.0;C
MG;Buenópolis;Serra do Cabral;0;243;2;9;0.0;D
MG;Buritis;Noroeste das Gerais e Alto Paranaíba;54.787;259;2;9;0.0;C
MG;Buritizeiro;Guimarães Rosa;0;0;3;12;0.0;D
MG;Cabeceira Grande;Noroeste das Gerais e Alto Paranaíba;0;0;1;0;0.0;D
MG;Cabo Verde;Caminhos Gerais;0;66;1;0;0.0;D
MG;Cachoeira da Prata;Grutas;4.335;0;0;0;0.0;D
MG;Cachoeira de Minas;Serras Verdes do Sul de Minas;17.011;0;1;6;0.0;D
MG;Cachoeira de Pajeú;Lago de Irapé;0;0;2;18;0.0;D
MG;Cachoeira Dourada;Rota do Triângulo;0;0;2;26;0.0;D
MG;Caetanópolis;Grutas;0;0;4;43;0.0;D
MG;Caeté;Ouro;23.757;0;11;310;4944942.0;B
MG;Caiana;Pico da Bandeira;0;0;1;1;0.0;D
MG;Cajuri;Serras de Minas;0;0;0;0;0.0;E
MG;Caldas;Caminhos Gerais;38.574;442;3;5;0.0;D
MG;Camanducaia;Serras Verdes do Sul de Minas;91.323;1.363;85;475;4904223.0;B
MG;Cambuí;Serras Verdes do Sul de Minas;33.454;373;2;16;0.0;D
MG;Cambuquira;Águas;25.071;188;3;15;0.0;D
MG;Campanário;Pedras Preciosas;0;0;0;0;0.0;E
MG;Campanha;Águas;2.624;0;4;6;0.0;D
MG;Campestre;Caminhos Gerais;14.032;0;2;1;0.0;D
MG;Campo Belo;Grutas e Mar de Minas;7.645;730;5;30;0.0;D
MG;Campo do Meio;Lago de Furnas;0;111;0;0;0.0;D
MG;Campos Gerais;Lago de Furnas;0;0;2;7;0.0;D
MG;Canaã;Serras de Minas;0;0;1;2;0.0;D
MG;Caparaó;Pico da Bandeira;5.215;0;0;0;0.0;D
MG;Capelinha;Pedras Preciosas;2.624;0;5;38;0.0;D
MG;Capim Branco;Grutas;0;0;1;18;0.0;D
MG;Capitão Andrade;Trilhas do Rio Doce;0;0;0;0;0.0;E
MG;Capitão Enéas;Sertão Gerais;0;0;0;0;0.0;E
MG;Capitólio;Nascentes das Gerais e Canastra;10.151;2.005;17;154;2495772.0;C
MG;Caputira;Pico da Bandeira;0;0;0;0;0.0;E
MG;Caranaíba;Villas e Fazendas de Minas;0;0;0;0;0.0;E
MG;Carandaí;Trilha dos Inconfidentes;0;0;4;23;0.0;D
MG;Carangola;Pico da Bandeira;25.696;496;6;21;0.0;C
MG;Carbonita;Diamantes;0;0;2;1;0.0;D
MG;Carlos Chagas;Pedras Preciosas;2.681;0;5;16;0.0;D
MG;Carmo da Cachoeira;Região Encantos de Minas;4.510;112;3;11;0.0;D
MG;Carmo da Mata;Campo das Vertentes;2.624;0;1;1;0.0;D
MG;Carmo de Minas;Águas;28.286;0;5;23;0.0;D
MG;Carmo do Cajuru;Campo das Vertentes;0;0;2;10;0.0;D
MG;Carmo do Paranaíba;Caminhos do Cerrado;18.428;341;2;9;0.0;D
MG;Carmo do Rio Claro;Nascentes das Gerais e Canastra;5.380;80;5;24;0.0;D
MG;Carmópolis de Minas;Campo das Vertentes;0;0;1;3;0.0;D
MG;Carrancas;Trilha dos Inconfidentes;19.242;388;6;20;0.0;C
MG;Carvalhópolis;Caminhos Gerais;0;0;0;0;0.0;E
MG;Casa Grande;Villas e Fazendas de Minas;0;0;3;41;0.0;D
MG;Cássia;Nascentes das Gerais e Canastra;10.109;258;2;3;0.0;D
MG;Cataguases;Serras e Cachoeiras;41.908;796;8;71;704418.0;C
MG;Catas Altas;Ouro;0;124;6;8;0.0;D
MG;Catas Altas da Noruega;Villas e Fazendas de Minas;0;0;0;0;0.0;E
MG;Catuji;Pedras Preciosas;0;149;0;0;0.0;D
MG;Caxambu;Águas;59.100;1.422;13;289;1958366.0;B
MG;Centralina;Rota do Triângulo;7.914;170;2;6;0.0;D
MG;Chácara;Caminhos Verdes de Minas;0;0;1;6;0.0;D
MG;Chapada do Norte;Lago de Irapé;0;0;0;0;0.0;E
MG;Chapada Gaúcha;Noroeste das Gerais e Alto Paranaíba;0;120;3;6;0.0;D
MG;Chiador;Caminhos Verdes de Minas;0;0;0;0;0.0;D
MG;Cipotânea;Nascente do Rio Doce;0;0;0;0;0.0;E
MG;Claraval;Nascentes das Gerais e Canastra;0;0;0;0;0.0;E
MG;Claro dos Poções;Sertão Gerais;0;0;0;0;0.0;E
MG;Cláudio;Grutas e Mar de Minas;6.033;0;3;8;0.0;D
MG;Coimbra;Serras de Minas;2.624;0;1;2;0.0;D
MG;Coluna;Trilhas do Rio Doce;0;0;0;0;0.0;E
MG;Comercinho;Vale do Jequitinhonha;0;0;1;1;0.0;D
MG;Conceição da Aparecida;Montanhas Cafeeiras de Minas;29.865;0;1;3;0.0;D
MG;Conceição da Barra de Minas;Trilha dos Inconfidentes;0;0;0;0;0.0;E
MG;Conceição das Alagoas;Rota do Triângulo;0;0;6;59;0.0;C
MG;Conceição das Pedras;Caminhos da Mantiqueira;0;0;0;0;0.0;E
MG;Conceição de Ipanema;Mata Atlântica de Minas;0;0;0;0;0.0;E
MG;Conceição do Mato Dentro;Serra do Cipó;8.657;418;18;61;821529.0;C
MG;Conceição do Rio Verde;Águas;1.688;233;1;2;0.0;D
MG;Conceição dos Ouros;Serras Verdes do Sul de Minas;0;347;0;0;0.0;D
MG;Confins;Grutas;14.856;456;2;13;0.0;D
MG;Congonhal;Serras Verdes do Sul de Minas;0;0;2;3;0.0;D
MG;Congonhas do Norte;Serra do Cipó;0;0;0;0;0.0;E
MG;Conselheiro Lafaiete;Villas e Fazendas de Minas;99.139;1.099;21;137;949063.0;B
MG;Conselheiro Pena;Trilhas do Rio Doce;7.995;978;3;18;0.0;D
MG;Consolação;Serras Verdes do Sul de Minas;0;0;0;0;0.0;E
MG;Coqueiral;Região Encantos de Minas;0;0;1;4;0.0;D
MG;Coração de Jesus;Lago de Irapé;0;0;0;0;0.0;D
MG;Cordisburgo;Grutas;7.914;0;3;63;0.0;D
MG;Corinto;Guimarães Rosa;1.697;0;3;16;0.0;D
MG;Coroaci;Trilhas do Rio Doce;4.988;0;0;0;0.0;D
MG;Coromandel;Caminhos do Cerrado;0;135;4;27;0.0;D
MG;Coronel Fabriciano;Mata Atlântica de Minas;34.469;1.178;8;81;0.0;C
